C,C sharp,D,D sharp,E,F,F sharp,G,G sharp,A,A sharp,B,key
0.07241489023226216,0.06127903277123767,0.15278396436525613,0.013935730194082088,0.13783009863188037,0.028444161629016862,0.10353165765192492,0.13439389118676423,0.028125994272987592,0.13795736557429208,0.010181355392936684,0.11912185809735922,G major
0.00968950434458545,0.0968950434458545,0.16301512268795482,0.015318831767451895,0.14575446717533294,0.007041562873899143,0.14412647353039248,0.06888570700037268,0.046799913696722435,0.18843536080654336,0.007041562873899143,0.10699644979699115,D major
0.028188539741219962,0.12091805298829328,0.13139248305606901,0.014222632984185664,0.1595296775518587,0.029728897104128158,0.09247278701992195,0.051653316902854796,0.06356541384267816,0.16004313000616144,0.02212980078044773,0.12615526802218113,G major
0.008923884514435695,0.11076115485564304,0.16272965879265092,0.005774278215223097,0.14383202099737533,0.006036745406824147,0.14304461942257218,0.1005249343832021,0.032020997375328084,0.15223097112860892,0.009711286089238845,0.12440944881889764,B minor
0.013612467142320691,0.12176117161096507,0.12852046564025535,0.01464513706346226,0.13715734134434848,0.009669545625234697,0.14898610589560646,0.05792339466766804,0.05820503191888847,0.17761922643634998,0.0069470521967705595,0.12495306045812993,B minor
0.015584415584415584,0.12272727272727273,0.11688311688311688,0.01818181818181818,0.14285714285714285,0.00909090909090909,0.13896103896103895,0.08376623376623377,0.03896103896103896,0.17077922077922078,0.0025974025974025974,0.1396103896103896,B minor
0.025458996328029376,0.08935128518971848,0.16621787025703794,0.006854345165238678,0.14614443084455325,0.0007343941248470012,0.13341493268053856,0.10501835985312118,0.020563035495716035,0.18849449204406366,0.0,0.11774785801713586,B minor
0.07295173961840629,0.044332210998877665,0.14646464646464646,0.022727272727272728,0.13468013468013468,0.009539842873176206,0.11531986531986532,0.13860830527497195,0.010381593714927048,0.14169472502805835,0.018518518518518517,0.1447811447811448,B minor
0.05810498514361175,0.06932981181908221,0.06767910201386597,0.0475404423902278,0.1366787718719049,0.03763618355893034,0.15021459227467812,0.07923407065037966,0.04027731924727633,0.0815450643776824,0.0340046219874546,0.1977550346649059,B minor
0.001013787510137875,0.10563665855636659,0.14953365774533658,0.012570965125709651,0.16443633414436334,0.004967558799675588,0.15875912408759124,0.076338199513382,0.029805352798053526,0.1549067315490673,0.020174371451743715,0.12185725871857259,B minor
0.0058495081095453335,0.1486306833289019,0.08003190640787025,0.03164052113799522,0.14809890986439778,0.020473278383408667,0.11087476734910928,0.007710715235309758,0.12470087742621642,0.17043339537357086,0.00824248869981388,0.14331294868386069,B minor
0.0062402496099844,0.11410742143971474,0.15979496322710052,0.0109204368174727,0.1373969244484065,0.012146200133719634,0.14998885669712503,0.05560508134611099,0.04869623356362826,0.2039224426119902,0.012034767104969913,0.08914642299977714,B minor
0.009876045550740703,0.10369847828277738,0.1675904464375693,0.005542678625415701,0.1357452383351809,0.003728711075279653,0.1511639625113373,0.09341932883200645,0.021969162551647686,0.16890053411266753,0.00896906177567268,0.12939635190970472,B minor
0.026842362127867253,0.17398731088335773,0.07003416300634456,0.053440702781844804,0.08077110785749146,0.03635919960956564,0.15592972181551976,0.02000976085895559,0.12371888726207907,0.10053684724255735,0.03489507076622743,0.12347486578818936,B minor
0.009423654739142312,0.10256760447965037,0.1617044523354275,0.0071018847309478285,0.15159792406446326,0.0031412182463807703,0.14750068287353182,0.08740781207320404,0.020076481835564052,0.20882272603113902,0.007375034143676591,0.09328052444687245,B minor
0.0068762278978389,0.12868369351669942,0.13605108055009824,0.01768172888015717,0.13408644400785855,0.012278978388998035,0.16994106090373282,0.0869351669941061,0.015717092337917484,0.08055009823182711,0.055992141453831044,0.15520628683693516,B minor
0.0830945558739255,0.04656160458452722,0.18839541547277938,0.04656160458452722,0.06446991404011461,0.058022922636103154,0.07593123209169055,0.17550143266475646,0.014326647564469915,0.13681948424068768,0.08094555873925502,0.029369627507163324,B minor
0.016507384882710686,0.11120764552562988,0.17520996235157835,0.005212858384013901,0.141326382855488,0.0011584129742253113,0.1488560671879525,0.08803938604112366,0.021720243266724587,0.1352447147408051,0.01071532001158413,0.1448016217781639,B minor
0.026513122656668452,0.09882163899303696,0.13363685056239957,0.02088912694161757,0.15640064274236742,0.003749330476700589,0.13336904124263524,0.09507230851633637,0.040707016604177824,0.1494376004284949,0.013122656668452063,0.128280664167113,B minor
0.024286924597571306,0.08368634095829804,0.15551162571778218,0.011390379365527628,0.15296997081803634,0.002729925633060341,0.14110891461922245,0.09394709592393863,0.023345570930998778,0.18290501741504284,0.006024663466064201,0.12209357055445731,B minor
0.006016217630133403,0.1388961548522103,0.08239602406487052,0.035574156421658384,0.1504054407533351,0.012032435260266806,0.11849332984567094,0.00941668846455663,0.11352341093382161,0.1595605545383207,0.014386607376405965,0.15929897985874966,B minor
0.017792421746293245,0.1186161449752883,0.17034596375617791,0.005930807248764415,0.13838550247116968,0.0026359143327841844,0.14761120263591435,0.0843492586490939,0.024052718286655683,0.13904448105436573,0.009225700164744647,0.14200988467874795,B minor
0.0919965202261853,0.039147455415398,0.16224445411048283,0.011526750761200522,0.10874293170943888,0.007612005219660722,0.12287951283166594,0.1446280991735537,0.0078294910830796,0.1509351892127012,0.012396694214876033,0.14006089604175728,B minor
0.03360151443445338,0.14245149077141506,0.09086606720302887,0.029342167534311406,0.08140085186938002,0.05111216280170374,0.1722669190724089,0.055844770468528156,0.08424041646947468,0.0743019403691434,0.03360151443445338,0.150970184571699,B minor
0.0035633300939423387,0.13475866537091027,0.1360544217687075,0.009394233884029803,0.1383219954648526,0.013281503077421444,0.15225137674117267,0.08001295756397797,0.036281179138321996,0.1000971817298348,0.0463232912212504,0.14965986394557823,B minor
0.016346046925386413,0.13944178805737797,0.09196041365506505,0.030468141888135215,0.10441454464583565,0.03146892027132214,0.1692427443567219,0.05137329033692872,0.07828310908484376,0.09474035360836205,0.0368064049816524,0.15545424218836873,B minor
0.016815554387808723,0.1091259414958837,0.13217726396917148,0.024557715887195655,0.12937467157120336,0.017306008057453144,0.14734629532317395,0.06894377299001576,0.0581537922578385,0.1605885444035733,0.009633911368015413,0.125976528288667,D major
0.12801013941698353,0.028517110266159697,0.08681875792141952,0.1267427122940431,0.023447401774397972,0.1482889733840304,0.005069708491761723,0.1520912547528517,0.11280101394169835,0.031685678073510776,0.15272496831432192,0.0038022813688212928,E flat major
0.14918190567853706,0.032723772858517804,0.10875842155919153,0.11838306063522618,0.029836381135707413,0.12030798845043311,0.02598652550529355,0.15399422521655437,0.08277189605389798,0.04234841193455245,0.09528392685274302,0.04042348411934552,E flat major
0.10090237899917966,0.033634126333059886,0.09105824446267433,0.1763740771123872,0.009844134536505332,0.13699753896636588,0.004101722723543888,0.13289581624282198,0.1173092698933552,0.022149302707136997,0.1657095980311731,0.009023789991796555,E flat major
0.14420062695924765,0.013584117032392894,0.13862765586903517,0.007662835249042145,0.14454893765238594,0.0961337513061651,0.03726924416579589,0.14454893765238594,0.011842563566701497,0.133402995471961,0.02647161267850923,0.10170672239637757,C major
0.13693467336683418,0.022613065326633167,0.13190954773869346,0.01193467336683417,0.14258793969849246,0.0835427135678392,0.0364321608040201,0.10113065326633165,0.032663316582914576,0.17022613065326633,0.023241206030150754,0.10678391959798995,C major
